集團,捐款,花費,集團代碼,相關公司
亞泥遠傳,68000000,8767844,G1102,亞泥/遠傳/遠東商銀/遠百/亞東證券/遠東新/遠鼎投資/裕民/宏遠/東聯
興富發,10600000,0,G2542,興富發
士電新竹物流,6400000,81144,G1503,士電/新竹物流/國賓/士開
燿華富喬工業,6100000,0,G2367,燿華/富喬工業/愛地雅
南港輪胎,6000000,0,G2334,南港輪胎
所羅門,5000000,0,G2359,所羅門
台灣櫻花,4000000,0,G9911,台灣櫻花
建新國際,4000000,200000,G8367,建新國際
佳穎精密亞昕國際,3600000,0,G3310,佳穎精密/亞昕國際
新光鋼,3600000,0,G2031,新光鋼
中纖台中銀行,3400000,197590,G1718,中纖/台中銀行/磐亞
中鋼中宇,3100020,20,G2002,中鋼/中宇/鑫科材料/中鋼構/中聯資源/國碳科/中碳/中鴻
力麗力麗店,3100000,0,G1444,力麗/力麗店/山林水/力麒/力鵬
永記造漆,3000000,0,G1726,永記造漆
遊戲橘子,2700000,1135000,G6180,遊戲橘子
達麗,2700000,0,G6177,達麗
東森,2500000,5585345,G2614,東森
日月光鼎固-KY,2500000,1000000,G2311,日月光/鼎固-KY/宏璟
愛之味劍湖山,2500000,41593,G1217,愛之味/劍湖山
家登精密迅得,2500000,0,G3680,家登精密/迅得
日勝,2400000,59154,G2547,日勝
國揚實業漢來美食,2400000,700000,G2505,國揚實業/漢來美食
潤泰全球日友,2400000,648878,G2915,潤泰全球/日友/浩鼎/中裕新藥/潤泰精材/南山人壽/潤弘精密/潤泰創新
冠軍,2270000,0,G1806,冠軍
新纖台新金控,2100000,1045150,G1409,新纖/台新金控/新光金/新光保全/大台北/新海瓦斯/達輝光電/友輝/元富證券/新紡
台數科,2060000,5299185,G3136,台數科
金益鼎,2050000,600000,G8390,金益鼎
旺宏,2000000,0,G2337,旺宏
鴻海鴻準,2000000,1269784,G2317,鴻海/鴻準/沅聖/京鼎/天鈺/正達國際/建漢科技/訊芯-KY/GIS-KY/乙盛-KY/亞太電信/榮創/樺漢科技/臻鼎-KY/群創光電/廣宇/台揚科技
楠梓電,2000000,0,G2316,楠梓電
富旺國際,1920000,0,G6219,富旺國際
寒舍餐旅,1750000,110446,G2739,寒舍餐旅
三陽工業,1700000,0,G2206,三陽工業
中鼎工程新鼎系統,1700000,0,G9933,中鼎工程/新鼎系統/崑鼎投控
京城京城銀行,1700000,28653,G2524,京城/京城銀行
全坤建,1700000,0,G2509,全坤建
長春石油長春人造,1700000,0,G1764,長春石油/長春人造/大連化工
台灣農林,1680000,68000,G2913,台灣農林
和大工業高鋒工業,1600000,0,G1536,和大工業/高鋒工業
台灣福興,1600000,0,G9924,台灣福興
富味鄉,1500000,0,G1260,富味鄉
金寶電子凱碩科技,1500000,0,G2312,金寶電子/凱碩科技/建榮工業/博智電子/台亞衛星/安勤科技/康舒/智易科技/仁寶電腦
三發地產,1500000,0,G9946,三發地產
台塑南亞塑膠,1500000,1300,G1301,台塑/南亞塑膠/台化/南電/麥寮汽電/台勝科/福懋興業/廣越/南亞科/台塑石化
車王電,1500000,0,G1533,車王電
中石化中工,1480000,4013,G1314,中石化/中工
伍豐科技碩豐,1450000,0,G8076,伍豐科技/碩豐
佳世達瑞鼎科技,1400000,0,G2352,佳世達/瑞鼎科技/達方電子/明基材料/隆達/明基醫/達興材料/拍檔/達運/友達
台灣百和百和興業-KY,1400000,0,G9938,台灣百和/百和興業-KY
高林實杏昌生技,1200000,0,G2906,高林實/杏昌生技
環泰企業,1200000,0,G4207,環泰企業
合機公司洋華,1100000,0,G1618,合機公司/洋華/世紀鋼構
禾聯碩,1100000,0,G5283,禾聯碩
柏文,1100000,0,G8462,柏文
勝一化工,1100000,0,G1773,勝一化工
國碩科技達邁,1100000,100000,G2406,國碩科技/達邁/碩禾
華新精成科技,1080000,0,G1605,華新/精成科技/瀚宇博德/華東/和鑫/彩晶/華邦電/台灣精星/信昌電陶/新唐科技/九齊科技/華新科
關貿,1040000,0,G6183,關貿
寶島科雙美,1000000,0,G5312,寶島科/雙美/金可-KY
嘉泥,1000000,0,G1103,嘉泥
台玻,1000000,0,G1802,台玻
泰銘,1000000,0,G9927,泰銘
精技電腦精聯,1000000,0,G2414,精技電腦/精聯
幸福水泥,1000000,0,G1108,幸福水泥
榮成寶隆,1000000,500000,G1909,榮成/寶隆
霹靂,1000000,100000,G8450,霹靂
善德生技,1000000,0,G4115,善德生技
正崴維熹科技,1000000,0,G2392,正崴/維熹科技/光燿科/崴強科技/勁永國際
長虹,1000000,0,G5534,長虹
鉅橡企業,1000000,0,G8074,鉅橡企業
宜進宏洲纖維,1000000,0,G1457,宜進/宏洲纖維
聲寶瑞智精密,900000,0,G1604,聲寶/瑞智精密
坤悅,900000,0,G5206,坤悅
黑松,900000,46289,G1234,黑松
大樹醫藥,880000,1366,G6469,大樹醫藥
長興材料,800000,0,G1717,長興材料
上曜永捷,800000,0,G1316,上曜/永捷
鐿鈦科技,700000,0,G4163,鐿鈦科技
大東紡織,700000,0,G1441,大東紡織
弘裕,600000,0,G1474,弘裕
強茂熒茂,600000,0,G2481,強茂/熒茂
愛山林,600000,400000,G2540,愛山林
和碩景碩科技,600000,0,G4938,和碩/景碩科技/華擎/海華科技/鎧勝-KY/佳能
台南企業台南-KY,600000,0,G1473,台南企業/台南-KY
美亞鋼管志信,600000,32521,G2020,美亞鋼管/志信
瑞昱弘憶國際,600000,0,G2379,瑞昱/弘憶國際
岳豐,600000,0,G6220,岳豐
強盛染整,600000,0,G1463,強盛染整
金洲海洋,550000,0,G4417,金洲海洋
和勤精機,500000,0,G1586,和勤精機
順天建設,500000,0,G5525,順天建設
環球水泥,500000,0,G1104,環球水泥
昇貿科技,500000,0,G3305,昇貿科技
冠德,500000,16304,G2520,冠德
得力實業,500000,0,G1464,得力實業
皇鼎建設,500000,0,G5533,皇鼎建設
台紙,500000,0,G1902,台紙
光頡,500000,0,G3624,光頡
研華艾訊,500000,0,G2395,研華/艾訊
大將,500000,0,G1453,大將
世鎧,500000,0,G2063,世鎧
宜特科技,500000,0,G3289,宜特科技
皇將,500000,0,G4744,皇將
國鼎生技,500000,0,G4132,國鼎生技
德麥,500000,0,G1264,德麥
寶利徠,500000,0,G1813,寶利徠
隴華電子三圓,500000,0,G2424,隴華電子/三圓
中電,460000,0,G1611,中電
裕國冷凍,439464,0,G8905,裕國冷凍
華立長華電材,400000,0,G3010,華立/長華電材/華宏新技
訊聯生物創源生技,400000,0,G1784,訊聯生物/創源生技
廣隆光電安�眲鴔�,400000,0,G1537,廣隆光電/安�眲鴔�
慶豐富,400000,0,G9935,慶豐富
信大水泥,400000,0,G1109,信大水泥
京元電子,300000,0,G2449,京元電子
鑫龍騰,300000,0,G3188,鑫龍騰
華建,300000,0,G2530,華建
和益化工,300000,0,G1709,和益化工
公準精密,300000,0,G3178,公準精密
統領,300000,0,G2910,統領
厚生,300000,0,G2107,厚生
傳奇,300000,0,G4994,傳奇
茂順,300000,0,G9942,茂順
萬在,300000,0,G4543,萬在
大車隊,300000,327076,G2640,大車隊
正德海運,300000,0,G2641,正德海運
廣運太極能源,300000,300000,G6125,廣運/太極能源
岱稜,300000,0,G3303,岱稜
磐儀,300000,0,G3594,磐儀
科妍,300000,0,G1786,科妍
鑫永銓,300000,0,G2114,鑫永銓
毅嘉科技,300000,0,G2402,毅嘉科技
中信金國喬石化,300000,49557,G2891,中信金/國喬石化/中租-KY/中租迪和
東泥,300000,180000,G1110,東泥
旺矽博磊科技,300000,0,G6223,旺矽/博磊科技
新東陽昇陽建設,300000,0,G1242,新東陽/昇陽建設
金利精密,300000,0,G6606,金利精密
中華電神腦,300000,691997,G2412,中華電/神腦/神準/資拓宏宇/精測
裕隆汽車嘉裕,300000,545142,G2201,裕隆汽車/嘉裕/裕隆日產/江申工業/華晶科技/世紀民生/中華汽車/裕融企業
宏致,250000,0,G3605,宏致
味王公司,240000,0,G1203,味王公司
福壽實業,237400,0,G1219,福壽實業
大成鋼大國鋼,220000,0,G2027,大成鋼/大國鋼
華固建設,200000,0,G2548,華固建設
新復興,200000,0,G4909,新復興
為升,200000,0,G2231,為升
大億大億金茂,200000,0,G1521,大億/大億金茂/堤維西
東和鋼鐵,200000,200000,G2006,東和鋼鐵
金雨,200000,0,G4503,金雨
美利達,200000,0,G9914,美利達
國精化學,200000,0,G4722,國精化學
聚和,200000,0,G6509,聚和
中興電,200000,60,G1513,中興電
大昌證券,200000,0,G0646,大昌證券
上緯投控,200000,0,G4733,上緯投控
台苯,200000,0,G1310,台苯
和泰汽車和潤企業,200000,1043835,G2207,和泰汽車/和潤企業
建大,200000,0,G2106,建大
耀億工業,200000,0,G4430,耀億工業
太普高,196350,0,G3284,太普高
統一統一實業,163235,1052370,G1216,統一/統一實業/統一證券/興能高/統一超/德記/台灣神隆/大統益
嘉澤端子,155000,0,G3533,嘉澤端子
智邦科技,150000,0,G2345,智邦科技
邦特生技,150000,0,G4107,邦特生技
鈊象電子,150000,0,G3293,鈊象電子
宏偉,130000,0,G4565,宏偉
光洋科,120000,0,G1785,光洋科
安集,100000,100000,G6477,安集
亞崴機電程泰,100000,0,G1530,亞崴機電/程泰
雷科,100000,0,G6207,雷科
晉椿,100000,100000,G2064,晉椿
欣巴巴,100000,0,G9906,欣巴巴
岱宇國際,100000,0,G1598,岱宇國際
台灣東洋智擎,100000,0,G4105,台灣東洋/智擎/創益/漢達
春源鋼鐵,100000,0,G2010,春源鋼鐵
宏亞食品,100000,0,G1236,宏亞食品
青鋼,100000,0,G8930,青鋼
永裕,100000,0,G1323,永裕
州巧,100000,0,G3543,州巧
奇鋐科技,100000,0,G3017,奇鋐科技
海悅,100000,0,G2348,海悅
力山亞信電子,100000,100000,G1515,力山/亞信電子
帆宣科技泰詠電子,100000,0,G6196,帆宣科技/泰詠電子
太陽光,100000,0,G3566,太陽光
福懋油,100000,0,G1225,福懋油
葡萄王,100000,0,G1707,葡萄王
錸德科技鈺德科技,100000,705,G2349,錸德科技/鈺德科技
康普材料,100000,0,G4739,康普材料
普萊德科,100000,0,G6263,普萊德科
佳格,100000,0,G1227,佳格
卜蜂企業,100000,0,G1215,卜蜂企業
天威保全,100000,0,G2518,天威保全
台泥中橡,100000,0,G1101,台泥/中橡
同開科技,100000,100000,G3018,同開科技
大成長城,68000,0,G1210,大成長城
天鉞電,60000,0,G5251,天鉞電
綠意開發,60000,0,G2596,綠意開發
信昌機械,50820,0,G1548,信昌機械
台全電機,50000,0,G1550,台全電機
大亞電線大展電線,50000,0,G1609,大亞電線/大展電線
霖宏科技,50000,0,G5464,霖宏科技
客思達-KY,50000,0,G2936,客思達-KY
三福化工,50000,50000,G4755,三福化工
昶昕,50000,0,G8438,昶昕
遠雄建設遠雄港,50000,50750,G5522,遠雄建設/遠雄港
日高,20000,0,G1594,日高
南緯實業,10000,0,G1467,南緯實業
國建國泰金,0,456854,G2501,國建/國泰金/國泰產險
天仁,0,100,G1233,天仁
時報文化,0,7200,G8923,時報文化
創業家,0,35160,G8477,創業家
必應,0,2295000,G6625,必應
世新有線,0,200000,G8974,世新有線
陽信銀行,0,1380,G2895,陽信銀行
歐買尬,0,34346,G3687,歐買尬
亞都麗緻,0,1320,G5703,亞都麗緻
兆豐金,0,60909,G2886,兆豐金
聯廣,0,9226800,G8497,聯廣
樂陞科技樂美館,0,370,G3662,樂陞科技/樂美館
華泰銀行,0,2606,G5827,華泰銀行
信義房屋,0,50000,G9940,信義房屋
國票金控旺旺保險,0,425146,G9151,國票金控/旺旺保險/中視
網路家庭商店街,0,1022431,G8044,網路家庭/商店街
巨大機械,0,235,G9921,巨大機械
聚隆,0,3391164,G1466,聚隆
威盛電子宏達電,0,4120993,G2388,威盛電子/宏達電/全達/建達國際
富邦金台灣大,0,321897,G2881,富邦金/台灣大/富邦媒
嘉里大榮,0,652,G2608,嘉里大榮
北基,0,213703,G8927,北基
臺灣企銀,0,33287,G2834,臺灣企銀
特力,0,7684,G2908,特力
白紗科技,0,596640,G8401,白紗科技
晶技台興,0,5408,G3042,晶技/台興
晶華酒店,0,250009,G2707,晶華酒店
佳龍,0,23996,G9955,佳龍
三商宏遠證券,0,208063,G2905,三商/宏遠證券/三商電腦/旭富製藥
儒鴻,0,1400000,G1476,儒鴻
華航,0,252323,G2610,華航
寶成工業冠西電,0,588,G9904,寶成工業/冠西電/南寶
金融大樓,0,5619,G2899,金融大樓
台視,0,2670000,G8329,台視
東元電機東訊,0,349552,G1504,東元電機/東訊/安心/菱光科技/聯昌電子/東友科技/世正開發/宅配通/方土霖
台汽電,0,643418,G8926,台汽電
正隆大園汽電,0,420000,G1904,正隆/大園汽電/山隆通運
永豐餘華紙,0,746795,G1907,永豐餘/華紙/太景*-KY/永豐金控/元太科技/先豐通訊
國產惠普,0,9020,G2504,國產/惠普/中保
聯華實業聯強國際,0,1290,G1229,聯華實業/聯強國際/神達/神基科技/聯成/華孚科技/豐達科技
南紡太子,0,210,G1440,南紡/太子/南帝化工
台肥,0,6597567,G1722,台肥
和成,0,3900,G1810,和成
長榮海運榮運,0,392292,G2603,長榮海運/榮運/長榮國際/長榮航空
美磊聯茂,0,430000,G3068,美磊/聯茂
炎洲新洲全球,0,467,G1715,炎洲/新洲全球
應華精密捷邦,0,2720,G5392,應華精密/捷邦/上奇科技/能率網通
泰山企業,0,59112,G1218,泰山企業
秋雨,0,2090500,G9929,秋雨
三信商銀,0,625000,G5830,三信商銀
板信銀行,0,60,G5862,板信銀行
龍巖,0,3000,G8378,龍巖
一零四,0,13800,G3130,一零四
宏正科信驊科技,0,3024,G6277,宏正科/信驊科技
海灣,0,24000,G3252,海灣
雙子星三冠王,0,780994,G8946,雙子星/三冠王
台船公司,0,55240,G2208,台船公司
欣隆天然欣天然,0,1869,G8370,欣隆天然/欣天然/欣湖公司/欣泰
麗嬰房,0,4500,G2911,麗嬰房
宏��優燈,0,2900,G2353,宏��/優燈/協禧電機
建舜電子,0,1000850,G3322,建舜電子
華南金,0,16824,G2880,華南金
乾杯,0,14659,G1269,乾杯
,0,1581705,G3505,
中友百貨,0,160,G5901,中友百貨
